Chocoladenfabriken;Süsterfeldstr. 130;52072;Aachen;0241-8881-0;0241-8889-313;Herr;Dr.;Adalbert;Lechner;;http://www.lindt.de/;Deutschland;Lebensmittelindustrie;C 1000-5000;434;Nordrhein-Westfalen
Schumag AG;Nerscheider Weg 170;52076;Aachen;02408-12-0;02408-12-256;Herr;Dr.;Johannes;Ohlinger;info@schumag.de;http://www.schumag.de;Deutschland;Maschinenbau;C 1000-5000;56;Nordrhein-Westfalen
ZENTIS GmbH & Co. KG;Jülicher Str. 177;52070;Aachen;0241-4760-0;0241-4760-369;Herr;;Karl-Heinz;Johnen;info@zentis.de;http://www.zentis.de;Deutschland;Lebensmittelindustrie;C 1000-5000;643;Nordrhein-Westfalen
MAPAL Fabrik für Präzisionswerkzeuge;Obere Bahnstr. 13;73431;Aalen;07361-585-0;07361-585-150;Herr;Dr.;Dieter;Kress;info@de.mapal.com;http://www.mapal.de/;Deutschland;Maschinenbau;C 1000-5000;310;Baden-Württemberg
Maschinenfabrik ALFING Kessler GmbH;Auguste-Kessler-Str. 20;73433;Aalen;07361-501-0;07361-501-1970;Herr;;Eberhard;Funk;info@mafa.alfing.de;http://www.alfing.de/;Deutschland;Maschinenbau;C 1000-5000;230;Baden-Württemberg
SHW Casting Technologies GmbH;Stiewingstr. 101;73433;Aalen;07361-3702-396;07361-3702-487;Herr;;Ulrich;Severing;;http://www.shw-ct.eu;Deutschland;Bauindustrie & Stahl;E 200-499;0;Baden-Württemberg
Norgren GmbH;Bruckstr. 93;46519;Alpen;02802-49-0;02802-49-356;Herr;;Peter;Varwijk;;http://www.norgren.com/de/;Deutschland;Maschinenbau;C 1000-5000;330;Nordrhein-Westfalen
Cinram GmbH;Max-Planck-Str. 1-9;52477;Alsdorf;02404-58-444;02404-58-111;Herr;;Dieter;Lubberich;info-de@cinram.com;http://www.cinram.de/de;Deutschland;Medien & Agenturen;C 1000-5000;250;Nordrhein-Westfalen
Medical Park AG;Freiberger-Platz 1;83123;Amerang;08075-91311-0;08075-91311-116;Herr;Dr.;Ulrich Richard;Mauerer;info@medicalpark.de;http://www.medicalpark.de/;Deutschland;Kommunales;C 1000-5000;112;Bayern
OECHSLER AG;Matthias-Oechsler-Str. 9;91522;Ansbach;0981-1807-0;0981-1807-222;Herr;Dr.;Claudius M.;Kozlik;info@oechsler.com;http://www.oechsler.com;Deutschland;Maschinenbau;C 1000-5000;233;Bayern
"""Thüfleiwa"" Thüringer Fleischwaren,";Buttstädter Str. 26;99510;Apolda;03644-5189-0;03644-5189-37;Herr;;Thomas;Kämmerer;apolda@thuefleiwa.de;http://www.thuefleiwa.de/;Deutschland;Lebensmittelhandel;F 100-200;0;Thüringen
frischBack GmbH Arnstadt;Mühlweg 3;99310;Arnstadt;03628-7411-0;03628-7411-15;Herr;;Alfred;Heyl;info@frischback.de;http://www.frischback.de/;Deutschland;Lebensmittelhandel;C 1000-5000;30;Thüringen
Knürr Electronics GmbH;Mariakirchener Str. 38;94424;Arnstorf;08723-27-0;08723-27-154;Herr;;Daniel;Graf;info@knuerr.com;http://www.emersonnetworkpower.com/en-EMEA/;Deutschland;Elektrotechnik & Medizintechnik;C 1000-5000;81;Bayern
ADO Goldkante GmbH & Co. KG;Hüntestr. 68;26821;Aschendorf;04962-505-0;04962-505-250;Herr;;Andreas;Zimmer;info?@?ado-goldkante.de;http://www.ado-goldkante.de/;Deutschland;Konsumgüterhersteller;D 500-999;129;Niedersachsen
Pfeiffer Vacuum GmbH;Berliner Str. 43;35614;Aßlar;06441-802-0;06441-802-1202;Herr;;Manfred;Bender;info@pfeiffer-vacuum.de;http://www.pfeiffer-vacuum.de/;Deutschland;Maschinenbau;D 500-999;221;Hessen
Labor Schottdorf MVZ GmbH;August-Wessels-Str. 5;86154;Augsburg;0821-4201-0;0821-417992;Frau;;Gabriele;Schottdorf;labor@schottdorf.de;http://www.schottdorf.de;Deutschland;Kommunales;C 1000-5000;0;Bayern
manroland web systems GmbH;Alois-Senefelder-Allee 1;86153;Augsburg;0821-424-0;0821-424-3303;Herr;;Jörn;Gossé;info@manroland-web.com;http://www.manroland-web.com/;Deutschland;Maschinenbau;C 1000-5000;0;Bayern
RENK Aktiengesellschaft;Gögginger Str. 73;86159;Augsburg;0821-5700-681;0821-5700-552;Herr;;Florian;Hofbauer;;http://www.renk.de/;Deutschland;Maschinenbau;C 1000-5000;148;Bayern
Schuhhof GmbH;Kobelweg 82;86156;Augsburg;0821-2408-0;0821-2408-284;Herr;;Frank;Pohl;info@schuhhof-gmbh.de;http://www.schuhhof.de/;Deutschland;Mode & Lifestyle;C 1000-5000;0;Bayern
UPM GmbH;Georg-Haindl-Str. 4;86153;Augsburg;0821-3109-0;0821-3109-156;Herr;Dr.;Bernd;Eikens;germany.communications@upm-kymmene.com;http://www.upm-kymmene.de/;Deutschland;Chemieindustrie;C 1000-5000;893;Bayern
WashTec AG;Argonstr. 7;86153;Augsburg;0821-5584-0;0821-5584-1410;Frau;;Karoline;Kalb;washtec@washtec.de;http://www.washtec.de/;Deutschland;Maschinenbau;C 1000-5000;302;Bayern
Johannesbad Holding AG & Co. KG;Johannesstr. 2;94072;Bad Füssing;08531-232102;08531-232732;Herr;Dr.;York;Dhein;info@johannesbad.de;http://www.johannesbad.com/;Deutschland;Kommunales;C 1000-5000;82;Bayern
Jos. Schneider Optische Werke GmbH;Ringstr. 132;55543;Bad Kreuznach;0671-601-0;0671-601-109;Herr;Dr.;Josef;Staub;sales@schneiderkreuznach.com;http://www.schneiderkreuznach.com/;Deutschland;Konsumgüterhersteller;E 200-499;82;Rheinland-Pfalz
Wellemöbel GmbH;Zum Strothebach 11;33175;Bad Lippspringe;05252-9890-0;05252-9890-585;Herr;;Volker;Meurer;info@welle.com;http://www.welle-moebel.de/;Deutschland;Konsumgüterhersteller;D 500-999;78;Nordrhein-Westfalen
Gardner Denver / Comp Air Simmern ;Argenthalerstrasse 11;55469;Simmern ;;;Herr;;Jan Erik ;Dreier ;Jan-ErikDreier@Compair.com;http://www.gd-elmorietschle.com/;Deutschland;Maschinenbau;C 1000-5000;82;Rheinland-Pfalz
Gießerei Heunisch GmbH;Westheimer Str. 6;91438;Bad Windsheim;09841-408-0;09841-408-238;Frau;Dr.;Christiane;Heunisch-Grotz;info@heunisch-guss.com;http://www.heunisch-guss.com/;Deutschland;Bauindustrie & Stahl;C 1000-5000;138;Bayern
Auto-Scholz GmbH & Co. KG;Kärntenstr. 1;96052;Bamberg;0951-9333-0;0951-9333-160;Herr;;Michael;Eidenmüller;dialog@auto-scholz.de;http://www.auto-scholz.de/;Deutschland;Technik & Auto;C 1000-5000;404;Bayern
Wieland Electric GmbH;Brennerstr. 10-14;96052;Bamberg;0951-9324-0;0951-9324-198;Herr;Dr.;Ulrich;Schaarschmidt;info@wieland-electric.com;http://www.wieland-electric.de/;Deutschland;Elektrotechnik & Medizintechnik;C 1000-5000;0;Bayern
Auto-Jet Waschstraßen;Memminger Str. 51;87743;Benningen;08331-857-422;08331-857-175;Herr;;Otto;Christ jun.;info@auto-jet.de;http://www.auto-jet.de/;Deutschland;Transport & Logistik;E 200-499;0;Bayern
C S P GmbH;Am Schlagbaum 4;59192;Bergkamen;02307-20844-0;02307-20844-20;Herr;;Andreas;Conradi;info@csp-bergkamen.de;http://www.csp-bergkamen.de/;Deutschland;Transport & Logistik;E 200-499;0;Nordrhein-Westfalen
Steilmann Holding AG;Industriestr. 42;59192;Bergkamen;02389-783-0;02389-783-112;Herr;Dr.;Michele;Puller;info@radici.de;http://www.steilmann-holding.eu;Deutschland;Konsumgüterhersteller;C 1000-5000;850;Nordrhein-Westfalen
Albert Handtmann Holding GmbH & Co. KG;Arthur-Handtmann-Str. 23;88400;Biberach an der Riß;07351-342-0;07351-342-2762;Herr;;Thomas;Handtmann;info@handtmann.de;http://www.handtmann.de/;Deutschland;Maschinenbau;C 1000-5000;505;Baden-Württemberg
JAB Josef Anstoetz KG;Potsdamer Str. 160;33719;Bielefeld;0521-2093-0;0521-2093-388;Herr;;Ralph;Anstoetz;jabverkauf@jab.de;http://www.jab.de/;Deutschland;Konsumgüterhersteller;C 1000-5000;235;Nordrhein-Westfalen
Jibi Handel GmbH & Co.;Kurze Str. 4-6;33613;Bielefeld;0521-52006-0;0521-52006-29;Herr;;Manfred;Neumann;info@jibi.de;http://www.jibi.de/;Deutschland;Lebensmittelhandel;C 1000-5000;275;Nordrhein-Westfalen
Seidensticker GmbH;Herforder Str. 182-194;33609;Bielefeld;0521-306-0;0521-306-111;Herr;;Frank-Walter;Seidensticker;info@seidensticker.de;http://www.seidensticker.de;Deutschland;Konsumgüterhersteller;C 1000-5000;180;Nordrhein-Westfalen
Wilhelm Böllhoff GmbH & Co. KG;Archimedesstr. 1-4;33649;Bielefeld;0521-4482-01;0521-4493-64;Herr;;Michael W.;Böllhoff;info@boellhoff.com;http://www.boellhoff.de/;Deutschland;Bauindustrie & Stahl;C 1000-5000;135;Nordrhein-Westfalen
NKD Deutschland GmbH;Bühlstr. 5-7;95463;Bindlach;09208-699-0;09208-699-209;Herr;;Frank;Beeck;service@nkd.de;http://www2.nkd.com/;Deutschland;Mode & Lifestyle;C 1000-5000;505;Bayern
Trevira GmbH;Max-Fischer-Str. 11;86399;Bobingen;08234-9688-2222;08234-9688-5432;Herr;;Klaus;Holz;trevira.info@trevira.com;http://www.trevira.de;Deutschland;Konsumgüterhersteller;C 1000-5000;255;Bayern
Agilent Technologies Deutschland GmbH;Herrenberger Str. 130;71034;Böblingen;07031-464-0;07031-464-2020;Herr;;Manfred;Seitz;;http://www.home.agilent.com/;Deutschland;Maschinenbau;C 1000-5000;46;Baden-Württemberg
EISENMANN SE;Tübinger Str. 81;71032;Böblingen;07031-78-0;07031-78-1000;Herr;Dr.;Matthias;von Krauland;info@eisenmann.com;http://www.eisenmann.com/;Deutschland;Maschinenbau;C 1000-5000;596;Baden-Württemberg
Fahrzeug-Werke Lueg AG;Universitätsstr. 44-46;44789;Bochum;0234-318-0;0234-318-337;Herr;;Jürgen;Tauscher;info@lueg.de;http://www.lueg.de/;Deutschland;Technik & Auto;C 1000-5000;613;Nordrhein-Westfalen
Gebr.Eickhoff Maschinenfabrik;Am Eickhoffpark 1;44789;Bochum;0234-975-0;0234-975-2445;Herr;Dr.;Paul;Rheinländer;kontakt@eickhoff-bochum.de;http://www.eickhoff-bochum.de;Deutschland;Maschinenbau;G unter 100;11;Nordrhein-Westfalen
RECTICEL SCHLAFKOMFORT GmbH;Schlaraffiastr. 1-10;44867;Bochum;02327-325-0;;Herr;;Jörg;Söltzer;info@schlaraffia.de;http://www.schlaraffia.de/;Deutschland;Konsumgüterhersteller;C 1000-5000;313;Nordrhein-Westfalen
Wüstenberg Landtechnik Börm GmbH & Co.KG;Dorfstr. 3;24863;Börm;04627-18780;04627-187860;Herr;;Holger;Wüstenberg;info@wuestenberg-landtechnik.de;http://www.wuestenberg-landtechnik.de/;Deutschland;Transport & Logistik;E 200-499;0;Schleswig-Holstein
MC-BAUCHEMIE MÜLLER GmbH & Co.;Am Kruppwald 1-8;46238;Bottrop;02041-101-0;02041-64017;Frau;;Hilde;Müller;info@mc-bauchemie.de;http://www.mc-bauchemie.de/;Deutschland;Bauindustrie & Stahl;C 1000-5000;0;Nordrhein-Westfalen
EFAFLEX Tor- und Sicherheitssysteme;Fliederstr. 14;84079;Bruckberg;08765-82-0;08765-82-200;Herr;;Ulrico;Becker;info@efaflex.com;http://www.efaflex.com/;Deutschland;Bauindustrie & Stahl;E 200-499;86;Bayern
SURTECO SE;Johan-Viktor-Bausch-Str. 2;86647;Buttenwiesen;08274-9988-0;08274-9988-505;Herr;;Friedhelm;Päfgen;info@surteco.com;http://www.surteco.com/;Deutschland;Chemieindustrie;C 1000-5000;408;Bayern
Simmel AG;Chemnitzer Str. 105;09224;Chemnitz;0371-809-0;0371-810-15;Herr;;Peter;Simmel;service@simmel.de;http://www.simmel.de;Deutschland;Lebensmittelhandel;C 1000-5000;122;Sachsen
Wismut GmbH;Jagdschänkenstr. 29;09117;Chemnitz;0371-8120-0;0371-8120-584;Herr;Dr.;Stefan;Mann;info@wismut.de;http://www.wismut.de/;Deutschland;Bauindustrie & Stahl;C 1000-5000;158;Sachsen
KAESER KOMPRESSOREN SE;Carl-Kaeser-Str. 26;96450;Coburg;09561-640-0;;Herr;;Thomas;Kaeser;info@kaeser.com;http://www.kaeser.de/;Deutschland;Maschinenbau;C 1000-5000;618;Bayern
ROLL Truck Service GmbH;Ludwig-Erhard-Str. 102;74564;Crailsheim;07951-29793-0;07951-29793-39;Herr;;Heinrich;Roll;info@rolltruck.de;http://www.rolltruck.de/;Deutschland;Transport & Logistik;E 200-499;0;Baden-Württemberg
Mylan dura GmbH;Wittichstr. 6;64295;Darmstadt;06151-9512-0;06151-9512-471;Herr;;Lloyd;Gotsell;info@mylan-dura.de;http://www.mylan-dura.de/;Deutschland;Chemieindustrie;F 100-200;120;Hessen
Weidmüller Interface GmbH & Co. KG;Klingenbergstr. 16;32758;Detmold;05231-14-0;05231-14-292083;Herr;;Harald;Vogelsang;info@weidmueller.de;http://www.weidmueller.de;Deutschland;Elektrotechnik & Medizintechnik;C 1000-5000;620;Nordrhein-Westfalen
Edeka C+C Großhandel GmbH;Mainfrankenpark 39-41;97337;Dettelbach;09302-9327-00;09302-9327-12;Herr;;Heiko;Kordmann;;http://www.edeka-cc.de/;Deutschland;Lebensmittelhandel;C 1000-5000;0;Bayern
Isabellenhütte Heusler GmbH & Co. KG;Eibacher Weg 3-5;35683;Dillenburg;02771-934-0;02771-23030;Herr;;Jürgen;Brust;info@isabellenhuette.de;http://www.isabellenhuette.de/;Deutschland;Elektrotechnik & Medizintechnik;D 500-999;99;Hessen
Wendel GmbH;Am Güterbahnhof 30;35683;Dillenburg;02771-906-0;02771-906-160;Herr;;Klaus-Achim;Wendel;info@wendel-email.de;http://www.wendel-email.de/;Deutschland;Chemieindustrie;F 100-200;0;Hessen
GEERS Hörakustik AG & Co. KG;Otto-Hahn-Str. 35;44227;Dortmund;0231-9760-0;0231-9760-100;Herr;;Ulrich;Koch;info@geers.de;http://www.geers.de/;Deutschland;Mode & Lifestyle;C 1000-5000;0;Nordrhein-Westfalen
Hellweg Die Profi-Baumärkte;Zeche Oespel 15;44149;Dortmund;0231-22618240;0231-96965151;Herr;;Christoph;Semer;Kundenservice@hellweg.de;http://www.hellweg.de/;Deutschland;DIY & Einrichten;C 1000-5000;630;Nordrhein-Westfalen
REWE DORTMUND Großhandel eG;Asselner Hellweg 1-3;44309;Dortmund;0231-25000;0231-2500177;Herr;;Heinz-Bert;Zander;info@rewe-dortmund.de;http://www.rewe-dortmund.de/;Deutschland;Lebensmittelhandel;C 1000-5000;0;Nordrhein-Westfalen
ThyssenKrupp Rothe Erde GmbH;Tremoniastr. 5-11;44137;Dortmund;0231-186-0;0231-186-2500;Herr;Dr.;Arno;Schuppert;rotheerde@thyssenkrupp.com;http://www.rotheerde.de/;Deutschland;Bauindustrie & Stahl;C 1000-5000;0;Nordrhein-Westfalen
Applied Materials GmbH;Buchenstr. 16 b;01097;Dresden;06023-92-6000;06023-92-6020;Herr;;Jürgen;Johnke;;http://www.appliedmaterials.com/;Deutschland;Elektrotechnik & Medizintechnik;E 200-499;124;Sachsen
GLOBALFOUNDRIES Dresden Module One;Wilschdorfer Landstr. 101;01109;Dresden;0351-2770;;Herr;Dr.;Udo;Nothelfer;global.sales@globalfoundries.com;http://www.globalfoundries.com/;Deutschland;Elektrotechnik & Medizintechnik;C 1000-5000;891;Sachsen
IKK classic;Tannenstr. 4b;01099;Dresden;0800-4551111;0351-4292-200-99;Herr;;Gerd;Ludwig;info@ikk-classic.de;http://www.ikk-classic.de/;Deutschland;Finanzen & Versicherung;C 1000-5000;0;Sachsen
Sächsische Dampfschiffahrts GmbH & Co.;Georg-Treu-Platz 3;01067;Dresden;0351-86609-0;0351-86609-88;Frau;;Karin;Hildebrand;info@saechsische-dampfschiffahrt.de;http://www.saechsische-dampfschiffahrt.de/;Deutschland;Gastronomie & Touristik;G unter 100;9;Sachsen
VEM Sachsenwerk GmbH;Pirnaer Landstr. 176;01257;Dresden;0351-208-0;0351-208-1028;Herr;;Gerhard;Freymuth;sachsenwerk@vem-group.com;http://www.vem-group.com;Deutschland;Elektrotechnik & Medizintechnik;C 1000-5000;260;Sachsen
BiBA GmbH;Daimlerstr. 3;47167;Duisburg;0203-5196-0;0203-5196-190;Herr;;Oliver;Kessel;info@biba.de;http://www.biba.de/;Deutschland;Mode & Lifestyle;C 1000-5000;101;Nordrhein-Westfalen
